"HGNC ID (gene)","Approved symbol","Approved name","Previous symbols","Aliases","Chromosome"
"HGNC:5991","IL1A","interleukin 1 alpha","IL1","IL1F1,IL-1A,IL1-ALPHA","2q14.1"
"HGNC:5992","IL1B","interleukin 1 beta","","IL1F2,IL-1B,IL1-BETA","2q14.1"
"HGNC:15552","IL1F10","interleukin 1 family member 10","","FKSG75,IL-1HY2,IL-1F10,IL1-theta,MGC11983,MGC119832,MGC119833","2q14.1"
"HGNC:6000","IL1RN","interleukin 1 receptor antagonist","","IL1RA,ICIL-1RA,IL1F3,IRAP,IL-1RN,MGC10430","2q14.1"
"HGNC:6001","IL2","interleukin 2","","IL-2,TCGF","4q27"
"HGNC:6011","IL3","interleukin 3","","IL-3,MULTI-CSF,MCGF,MGC79398,MGC79399","5q31.1"
"HGNC:6014","IL4","interleukin 4","","BSF1,IL-4,BCGF1,BCGF-1,MGC79402","5q31.1"
"HGNC:6016","IL5","interleukin 5","","IL-5,EDF,TRF","5q31.1"
"HGNC:6018","IL6","interleukin 6","IFNB2","IL-6,BSF2,HGF,HSF","7p15.3"
"HGNC:6023","IL7","interleukin 7","","IL-7","8q21.13"
"HGNC:6025","CXCL8","C-X-C motif chemokine ligand 8","IL8","SCYB8,LUCT,LECT,MDNCF,TSG-1,IL-8,NAP-1,3-10C,MONAP,AMCF-I,LYNAP,NAF,b-ENAP,GCP-1,K60,GCP1,NAP1","4q13.3"
"HGNC:6029","IL9","interleukin 9","","IL-9,HP40,P40","5q31.1"
"HGNC:5962","IL10","interleukin 10","","CSIF,TGIF,IL10A,IL-10","1q32.1"
"HGNC:5966","IL11","interleukin 11","","IL-11,AGIF","19q13.42"
"HGNC:5969","IL12A","interleukin 12A","NKSF1","CLMF,IL-12A,p35,NFSK","3q25.33"
"HGNC:5970","IL12B","interleukin 12B","NKSF2","CLMF,IL-12B,NKSF,CLMF2","5q33.3"
"HGNC:5973","IL13","interleukin 13","","P600,IL-13,ALRH,BHR1,MGC116786,MGC116788,MGC116789","5q31.1"
"HGNC:5977","IL15","interleukin 15","","IL-15,MGC9721","4q31.21"
"HGNC:5980","IL16","interleukin 16","","LCF,IL-16,prIL-16,HsT19289,FLJ42735,FLJ16806","15q25.1"
"HGNC:5981","IL17A","interleukin 17A","CTLA8,IL17","IL-17A,IL-17","6p12.2"
"HGNC:5982","IL17B","interleukin 17B","","IL-17B,ZCYTO7,IL-20,MGC138900,MGC138901,NIRF","5q32"
"HGNC:5983","IL17C","interleukin 17C","","IL-17C,CX2,IL-21,MGC126884,MGC138401","16q24.2"
"HGNC:5984","IL17D","interleukin 17D","","IL-27,IL-17D,IL27,FLJ30846","13q12.11"
"HGNC:16404","IL17F","interleukin 17F","","IL-17F,ML-1,ML1","6p12.2"
"HGNC:5986","IL18","interleukin 18","","IGIF,IL1F4,IL-1g,IL-18","11q23.1"
"HGNC:5990","IL19","interleukin 19","","IL-19,MDA1,ZMDA1,IL-10C,NG.1","1q32.1"
"HGNC:6002","IL20","interleukin 20","","ZCYTO10,IL10D,IL-20","1q32.1"
"HGNC:6005","IL21","interleukin 21","","Za11,IL-21","4q27"
"HGNC:14900","IL22","interleukin 22","","ILTIF,IL-21,zcyto18,IL-TIF,IL-D110,TIFa,TIFIL-23,IL-22,MGC79382,MGC79384","12q15"
"HGNC:15488","IL23A","interleukin 23 subunit alpha","","SGRF,IL23P19,IL-23,IL-23A,P19","12q13.3"
"HGNC:11346","IL24","interleukin 24","ST16","mda-7,IL10B,Mob-5,C49A,FISP,IL-24","1q32.1"
"HGNC:13765","IL25","interleukin 25","IL17E","IL-25,IL-17E","14q11.2"
"HGNC:17119","IL26","interleukin 26","","AK155,IL-26","12q15"
"HGNC:19157","IL27","interleukin 27","IL30","IL-27,p28,IL27p28,IL-27A,IL27A,MGC71873","16p12.1-p11.2"
"HGNC:19372","IL31","interleukin 31","","IL-31","12q24.31"
"HGNC:16830","IL32","interleukin 32","","NK4,TAIF,TAIFb,TAIFd","16p13.3"
"HGNC:16028","IL33","interleukin 33","C9orf26","DVS27,DKFZp586H0523,NF-HEV,IL1F11","9p24.1"
"HGNC:28529","IL34","interleukin 34","C16orf77","MGC34647,IL-34","16q22.1"
"HGNC:15562","IL36A","interleukin 36 alpha","IL1F6","FIL1,FIL1E,IL-1F6,IL1(EPSILON),MGC129553,MGC129552","2q14.1"
"HGNC:15564","IL36B","interleukin 36 beta","IL1F8","FIL1,IL-1H2,IL-1F8,FILI-(ETA),IL1-ETA,IL1H2,MGC126880,MGC126882","2q14.1"
"HGNC:15741","IL36G","interleukin 36 gamma","IL1F9","IL-1H1,IL-1RP2,IL-1F9,IL1H1,IL1E","2q14.1"
"HGNC:15561","IL36RN","interleukin 36 receptor antagonist","IL1F5","FIL1,FIL1(DELTA),FIL1D,IL1HY1,IL1RP3,IL1L1,IL-1F5,IL36RA,MGC29840","2q14.1"
"HGNC:15563","IL37","interleukin 37","IL1F7","FIL1,FIL1Z,FIL1(ZETA),IL-1H4,IL-1RP1,IL-1F7","2q14.1"
